"Station","Trip Ends","Trip Starts","Gap"
"2nd at Folsom","13","27","-14"
"2nd at South Park","0","28","-28"
"2nd at Townsend","71","71","0"
"5th at Howard","20","21","-1"
"Adobe on Almaden","1","2","-1"
"Beale at Market","24","32","-8"
"Broadway St at Battery St","21","27","-6"
"California Ave Caltrain Station","3","0","3"
"Castro Street and El Camino Real","9","6","3"
"Civic Center BART (7th at Market)","21","25","-4"
"Clay at Battery","22","17","5"
"Commercial at Montgomery","26","25","1"
"Cowper at University","3","1","2"
"Davis at Jackson","23","21","2"
"Embarcadero at Bryant","17","14","3"
"Embarcadero at Folsom","35","38","-3"
"Embarcadero at Sansome","66","57","9"
"Embarcadero at Vallejo","20","22","-2"
"Evelyn Park and Ride","2","1","1"
"Golden Gate at Polk","13","17","-4"
"Grant Avenue at Columbus Avenue","13","27","-14"
"Harry Bridges Plaza (Ferry Building)","59","50","9"
"Howard at 2nd","32","29","3"
"Japantown","4","3","1"
"MLK Library","4","7","-3"
"Market at 10th","32","35","-3"
"Market at 4th","23","27","-4"
"Market at Sansome","45","37","8"
"Mechanics Plaza (Market at Battery)","18","25","-7"
"Mezes Park","1","0","1"
"Mountain View Caltrain Station","18","14","4"
"Mountain View City Hall","3","8","-5"
"Palo Alto Caltrain Station","3","7","-4"
"Park at Olive","1","1","0"
"Paseo de San Antonio","7","5","2"
"Post at Kearny","23","20","3"
"Powell Street BART","39","30","9"
"Powell at Post (Union Square)","11","25","-14"
"Redwood City Caltrain Station","2","7","-5"
"Redwood City Medical Center","2","0","2"
"Rengstorff Avenue / California Street","2","3","-1"
"Ryland Park","4","5","-1"
"SJSU - San Salvador at 9th","2","3","-1"
"SJSU 4th at San Carlos","2","1","1"
"San Antonio Caltrain Station","2","4","-2"
"San Antonio Shopping Center","3","2","1"
"San Francisco Caltrain (Townsend at 4th)","102","91","11"
"San Francisco Caltrain 2 (330 Townsend)","132","86","46"
"San Francisco City Hall","3","6","-3"
"San Jose City Hall","0","1","-1"
"San Jose Civic Center","0","3","-3"
"San Jose Diridon Caltrain Station","22","21","1"
"San Pedro Square","10","5","5"
"San Salvador at 1st","2","1","1"
"Santa Clara County Civic Center","0","1","-1"
"Santa Clara at Almaden","3","3","0"
"South Van Ness at Market","13","25","-12"
"Spear at Folsom","23","19","4"
"St James Park","3","3","0"
"Stanford in Redwood City","4","3","1"
"Steuart at Market","59","56","3"
"Temporary Transbay Terminal (Howard at Beale)","64","64","0"
"Townsend at 7th","57","51","6"
"University and Emerson","1","2","-1"
"Washington at Kearny","10","5","5"
"Yerba Buena Center of the Arts (3rd @ Howard)","11","11","0"